total_lots,lot_type,lots_available,carpark_number,update_datetime,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
35,C,6,MR4,2023-02-27T09:35:32,BLK 7 KING GEORGE AVENUE,30966.4004,32248.0234,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,0.0,N,1.3079140431771623,103.8599731043321
183,C,61,CR7,2023-02-27T09:37:15,BLK 464/463 CRAWFORD LANE,31229.7422,31984.8511,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3055339795624585,103.86233932875297
408,C,244,KB4,2023-02-27T09:37:31,BLK 72/93/97 GEYLANG BAHRU,32158.2889,33930.5369,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3231299605395095,103.87068301702237
280,C,116,JRM,2023-02-27T09:35:30,BLK 814 JELLICOE ROAD,31175.747,32165.4237,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,2.15,N,1.3071670198992562,103.86185417499212
64,C,18,SD5,2023-02-27T09:35:15,BLK 53 SIMS PLACE,33185.7148,33337.7578,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.317768920515717,103.87991488367751
181,C,45,KB12,2023-02-27T09:35:40,BLK 22/24 SERANGOON ROAD,31145.9587,33485.5967,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3191062001768292,103.86158664703446
53,C,28,UBK4,2023-02-27T09:35:16,BLK 19/20 UPPER BOON KENG,32537.2679,33063.4121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,3.25,N,1.3152879383142504,103.8740882168005
29,C,3,SD2,2023-02-27T09:35:48,BLK 45/50/51 SIMS DRIVE,33013.2144,33244.1573,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N,1.3169224596017053,103.87836486432721
135,C,63,SDM2,2023-02-27T09:35:48,BLK 50A SIMS DRIVE,33023.254,33156.8404,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,4.0,2.15,N,1.3161327950004906,103.87845506103255
143,C,82,SG3,2023-02-27T09:35:04,BLK 20/23 ST GEORGE RD,31211.6165,34153.5582,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3251470002256687,103.86217668603142
395,C,230,NBRM,2023-02-27T09:36:07,BLK 13 NORTH BRIDGE ROAD MSCP,31304.4327,31815.6323,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N,1.3040036166790787,103.86301043995866
103,C,69,SG2,2023-02-27T09:35:04,BLK 14/19 ST GEORGE RD,31215.5547,34039.582,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.3241162395100088,103.86221206094716
192,C,158,SDM,2023-02-27T09:32:22,BLK 114A LORONG 3 GEYLANG MSCP,32577.6928,32750.7372,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5.0,1.9,N,1.3124602116224569,103.87445140859636
102,C,11,SD3,2023-02-27T09:35:55,BLK 46/47/48/49 SIMS PLACE,33111.4554,33289.2189,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.317329964458469,103.87924761702766
50,C,28,W107,2023-02-27T09:37:17,BLK 569A-569B CHAMPIONS WAY,23134.4358,45725.666,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N,1.4298007532188726,103.78959695405786
285,C,111,W30,2023-02-27T09:37:27,BLK 305 WOODLANDS ST 31,21406.332,45779.8253,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3.0,2.0,N,1.4302901995513786,103.77406832476436
27,C,0,W28,2023-02-27T09:37:38,BLK 304/305 WOODLANDS ST 31,21382.8242,45760.7109,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0.0,4.5,N,1.4301173304284682,103.77385708979358
245,C,116,W44,2023-02-27T09:37:25,BLK 413A WOODLANDS STREET 41,21205.5217,45525.4699,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.4279898550324301,103.77226391845875
324,C,209,W45,2023-02-27T09:37:33,BLK 421A WOODLANDS STREET 41,21528.0175,45524.5271,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.427981404325164,103.77516184012674
128,C,18,W7,2023-02-27T09:37:39,BLK 17/21 MARSILING LANE,21800.3125,47200.2539,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0.0,0.0,N,1.4431361242898684,103.77760829441745
322,C,166,W19,2023-02-27T09:38:11,BLK 134-143 MARSILING RD,21755.788,46587.4955,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N,1.4375945522901354,103.77720833374326
350,C,250,W780,2023-02-27T09:37:41,BLK 780 WOODLANDS CRESCENT,24414.7153,47764.032,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13.0,2.15,N,1.448235185003174,103.80110119714989
